loss,feature_norm
520.8151,72.701645
519.502385,72.846654
519.429491,72.805891
519.407706,72.814322
519.386086,72.819386
519.31957,72.834963
519.220884,72.856641
519.10722,72.858771
518.861272,72.936078
518.732145,72.970658
518.667511,72.984101
518.616045,73.007377
518.508987,72.987707
518.06337,73.106068
517.188641,73.138602
517.035893,73.118155
515.978889,73.108955
515.842687,73.119831
515.805393,73.113435
515.786248,73.107424
515.692674,73.086659
515.556582,73.058935
514.252094,73.021833
512.974213,73.034561
512.354444,73.080204
512.029044,73.134051
511.778345,73.21811
511.682902,73.251868
511.567214,73.273856
511.386836,73.276088
511.366274,73.278642
511.291016,73.261311
511.201757,73.287012
510.846261,73.26997
510.032965,73.261459
509.859137,73.297731
509.296107,73.325397
509.288713,73.325092
509.189972,73.344803
509.156662,73.341702
509.125607,73.344715
508.998257,73.363546
508.740535,73.405985
508.203235,73.499379
508.095093,73.682909
507.098624,73.761059
506.632821,73.820629
506.425604,73.91177
506.381143,73.889598
506.364892,73.907537
506.316438,73.939336
506.173484,74.014408
505.869735,74.171796
505.615872,74.255225
505.161873,74.315083
504.609416,74.313005
504.577795,74.300825
504.53403,74.268709
504.195684,74.278015
501.71188,74.50586
501.417969,74.658122
501.281099,74.803342
500.962172,74.962986
500.548249,75.051942
499.757306,75.153002
499.035931,75.23671
498.927312,75.249909
498.714268,75.246004
498.620368,75.216248
498.605641,75.205384
498.576952,75.191232
498.495271,75.153795
498.452674,75.158809
498.273645,75.130121
497.674288,75.04633
497.359009,75.043999
496.900116,75.083591
496.117694,75.225938
495.85996,75.278196
495.748149,75.359857
495.414682,75.387149
495.377261,75.362106
495.347465,75.369902
495.277236,75.355356
494.568412,75.406271
493.931825,75.433392
493.807465,75.619677
493.483928,75.620497
493.430509,75.595246
493.417242,75.596187
493.339013,75.58632
493.0825,75.575946
493.038512,75.589318
492.598453,75.60319
492.561547,75.627542
492.012122,75.690787
491.874084,75.654092
491.546883,75.721448
490.102743,75.858771
490.060755,75.852091
489.137076,76.009058
489.107349,75.985754
489.081025,75.997349
488.968355,76.002517
488.508211,76.107653
488.127855,76.075494
487.994617,76.076835
487.948619,76.067619
487.93026,76.072937
487.913399,76.079738
487.885787,76.091579
487.818941,76.10953
487.647409,76.158873
487.552441,76.165035
487.303723,76.216292
487.021955,76.268074
486.901941,76.267439
486.868541,76.265861
486.834252,76.254045
486.72688,76.275974
486.561198,76.271733
486.191846,76.276564
485.579337,76.34468
485.202174,76.455667
485.049902,76.533001
484.892432,76.615697
484.866776,76.603538
484.856891,76.605277
484.830624,76.611973
484.712919,76.626309
484.499591,76.640755
484.267936,76.655429
483.916078,76.680912
483.848958,76.688265
483.735089,76.689058
483.677726,76.684903
483.578357,76.676066
483.562842,76.675903
483.514487,76.669907
483.317553,76.679437
482.741067,76.745687
482.668393,76.750861
482.505893,76.780387
482.227903,76.790895
482.157831,76.815927
482.137831,76.821196
482.093165,76.812312
481.857187,76.806063
481.822481,76.812575
481.380944,76.82125
481.253036,76.86907
481.012215,76.89095
480.959981,76.912011
480.933788,76.950669
480.875836,76.939775
480.829357,76.93368
480.754308,76.925731
480.689871,76.922874
480.678229,76.927792
480.64314,76.925248
480.636263,76.926837
480.623602,76.929529
480.595852,76.93104
480.55544,76.92858
480.486664,76.92606
480.315513,76.917699
480.234724,76.910536
480.20524,76.914948
480.180929,76.917882
480.177402,76.918443
480.174783,76.918546
480.157814,76.918825
480.112183,76.912306
480.045148,76.916969
479.979188,76.923145
479.887824,76.93332
479.749803,76.954106
479.613131,76.979991
479.562834,76.987312
479.501239,77.001026
479.347721,76.99681
478.967032,77.040507
478.84286,77.066956
478.824177,77.089517
478.800112,77.096461
478.771521,77.091253
478.757953,77.091193
478.740318,77.092273
478.718127,77.094155
478.699645,77.094666
478.687346,77.099653
478.653715,77.079431
478.642747,77.081917
478.634388,77.079728
478.627365,77.074526
478.623529,77.070943
478.617819,77.071515
478.603976,77.067496
478.58685,77.066164
478.570051,77.067898
478.524405,77.072423
478.464938,77.07836
478.461139,77.08396
478.446374,77.077932
478.423155,77.083499
478.400863,77.0905
478.383356,77.095597
478.334719,77.107237
478.228828,77.129191
478.032905,77.163665
477.783334,77.206539
477.713825,77.206181
477.579164,77.220269
477.566957,77.208396
477.268027,77.324127
477.161523,77.298196
477.144191,77.294184
477.098096,77.291565
477.026242,77.298173
476.968755,77.304392
476.942072,77.328605
476.92004,77.335207
476.912096,77.340385
476.907856,77.342347
476.881554,77.352362
476.843516,77.364317
476.785288,77.375712
476.753733,77.379492
476.739859,77.376022
476.726548,77.369476
476.681998,77.358249
476.55972,77.358442
476.284613,77.388072
476.235071,77.403001
476.157108,77.417624
475.999794,77.476122
475.812081,77.501121
475.572155,77.496492
475.22719,77.495241
475.143563,77.509487
475.126636,77.516105
475.117486,77.52003
475.097935,77.525668
475.056227,77.535242
474.967117,77.554091
474.824215,77.581849
474.81625,77.576743
474.683494,77.597533
474.631922,77.597332
474.62396,77.592089
474.619549,77.589934
474.597958,77.585752
474.549804,77.582935
474.437524,77.586766
474.234878,77.608894
474.046808,77.687689
474.010656,77.716938
473.827506,77.713415
473.81241,77.718644
473.783851,77.733557
473.772258,77.740105
473.742565,77.741921
473.66677,77.742501
473.560154,77.739279
473.44416,77.726427
473.403904,77.736601
473.310181,77.745949
473.285097,77.759568
473.276365,77.769619
473.25043,77.779735
473.132163,77.795853
472.712669,77.836497
472.577465,77.850432
472.516319,77.856814
472.396881,77.878269
472.266959,77.906277
472.189849,77.900222
472.007249,77.949913
471.86144,78.002227
471.75323,78.051904
471.682472,78.084549
471.642976,78.069475
471.520962,78.110148
471.440804,78.108689
471.202883,78.095668
470.954127,78.110622
470.9359,78.082876
470.800324,78.079531
470.763493,78.071
470.755897,78.069251
470.745073,78.074239
470.735211,78.067518
470.69633,78.077072
470.46988,78.136342
470.270324,78.200905
470.146949,78.27957
469.992307,78.333985
469.942892,78.327895
469.87131,78.316782
469.799873,78.314708
469.557996,78.333334
469.184802,78.40092
469.129857,78.44545
468.720701,78.564143
468.509095,78.662766
468.455292,78.694389
468.435181,78.697402
468.378915,78.711066
468.214863,78.749792
468.038463,78.851683
467.911804,78.846487
467.793399,78.865243
467.742779,78.871798
467.728536,78.88316
467.653749,78.891658
467.491068,78.918212
467.203238,78.958016
466.689234,78.992565
466.677733,79.008971
466.138782,79.042166
466.117938,79.002223
465.978568,78.998109
465.723768,79.061279
465.496128,79.047454
464.895198,79.115925
464.798326,79.193839
463.506445,79.483347
463.212296,79.892283
462.826047,79.871277
462.681791,79.911996
462.618728,79.93926
462.496231,79.93883
462.487351,79.966769
462.415483,79.981227
462.333361,80.164461
462.196531,80.166811
461.917658,80.233186
461.620368,80.29206
461.290831,80.372145
461.238793,80.452855
461.001695,80.50428
460.940175,80.664084
460.822851,80.670499
460.703313,80.633182
460.53725,80.618186
460.321268,80.610881
460.077045,80.506203
459.712745,80.66772
459.348456,80.774512
459.153691,80.590504
458.596737,80.944945
458.496461,80.993721
458.223522,81.112148
458.206089,81.08715
458.079173,81.156691
458.036769,81.235136
458.02245,81.235022
457.988394,81.177151
457.774426,81.100754
457.063674,81.242973
456.759098,81.296831
456.620603,81.395743
456.552665,81.466081
456.42946,81.508202
456.190538,81.552688
455.970281,81.529552
455.794648,81.503215
455.682715,81.432334
455.676027,81.397667
455.649484,81.372931
455.610929,81.383247
455.528101,81.489865
455.205864,81.598439
454.768625,81.948628
454.680865,81.963017
454.66874,81.921035
454.603172,81.969153
454.540258,81.887789
454.452119,81.910897
454.120732,82.062731
454.054617,82.177883
453.790362,82.297299
453.602805,82.486157
453.44152,82.532017
453.374309,82.538697
453.304188,82.547829
453.125329,82.715894
453.088108,82.726543
453.053405,82.777047
453.011285,82.804742
452.958019,82.815932
